case_id,split,policy_name,amount_deviation,device_location_context,recent_velocity,amount_points,device_location_points,velocity_points,initial_risk_score,initial_action,verification_requested,verification_request_count,verification_result_observed,verification_independence_observed,verification_score_adjustment,final_risk_score,final_action,predicted_state,true_state,automatic_correct,reason
P2-028,EVALUATION,policy2_reliability_aware_v0.2,UNKNOWN,NEW_DEVICE_USUAL_LOCATION,UNKNOWN,1,1,1,3,GET_MORE_EVIDENCE,True,1,UNAVAILABLE,UNKNOWN,0,3,HUMAN_REVIEW,DEFERRED,FRAUDULENT,,Initial score 3 produced GET_MORE_EVIDENCE. Verification result: UNAVAILABLE. Independence: UNKNOWN. Score adjustment: +0. Final score: 3. Final action: HUMAN_REVIEW.
P2-029,EVALUATION,policy2_reliability_aware_v0.2,HIGH,KNOWN_DEVICE_USUAL_LOCATION,NORMAL,2,0,0,2,GET_MORE_EVIDENCE,True,1,PASS,INDEPENDENT,-1,1,APPROVE,LEGITIMATE,FRAUDULENT,False,Initial score 2 produced GET_MORE_EVIDENCE. Verification result: PASS. Independence: INDEPENDENT. Score adjustment: -1. Final score: 1. Final action: APPROVE.
P2-030,EVALUATION,policy2_reliability_aware_v0.2,HIGH,KNOWN_DEVICE_UNUSUAL_LOCATION,NORMAL,2,1,0,3,GET_MORE_EVIDENCE,True,1,PASS,INDEPENDENT,-1,2,HUMAN_REVIEW,DEFERRED,LEGITIMATE,,Initial score 3 produced GET_MORE_EVIDENCE. Verification result: PASS. Independence: INDEPENDENT. Score adjustment: -1. Final score: 2. Final action: HUMAN_REVIEW.
P2-031,EVALUATION,policy2_reliability_aware_v0.2,MODERATE,NEW_DEVICE_USUAL_LOCATION,ELEVATED,1,1,1,3,GET_MORE_EVIDENCE,True,1,FAIL,UNKNOWN,1,4,STOP,FRAUDULENT,FRAUDULENT,True,Initial score 3 produced GET_MORE_EVIDENCE. Verification result: FAIL. Independence: UNKNOWN. Score adjustment: +1. Final score: 4. Final action: STOP.
P2-032,EVALUATION,policy2_reliability_aware_v0.2,MODERATE,KNOWN_DEVICE_USUAL_LOCATION,HIGH,1,0,2,3,GET_MORE_EVIDENCE,True,1,PASS,SAME_CHANNEL,0,3,HUMAN_REVIEW,DEFERRED,LEGITIMATE,,Initial score 3 produced GET_MORE_EVIDENCE. Verification result: PASS. Independence: SAME_CHANNEL. Score adjustment: +0. Final score: 3. Final action: HUMAN_REVIEW.
P2-033,EVALUATION,policy2_reliability_aware_v0.2,NORMAL,KNOWN_DEVICE_USUAL_LOCATION,NORMAL,0,0,0,0,APPROVE,False,0,NOT_REQUESTED,NOT_REQUESTED,0,0,APPROVE,LEGITIMATE,FRAUDULENT,False,Initial score 0 produced APPROVE. Verification result: NOT_REQUESTED. Independence: NOT_REQUESTED. Score adjustment: +0. Final score: 0. Final action: APPROVE.
P2-034,EVALUATION,policy2_reliability_aware_v0.2,NORMAL,KNOWN_DEVICE_USUAL_LOCATION,NORMAL,0,0,0,0,APPROVE,False,0,NOT_REQUESTED,NOT_REQUESTED,0,0,APPROVE,LEGITIMATE,LEGITIMATE,True,Initial score 0 produced APPROVE. Verification result: NOT_REQUESTED. Independence: NOT_REQUESTED. Score adjustment: +0. Final score: 0. Final action: APPROVE.
P2-035,EVALUATION,policy2_reliability_aware_v0.2,HIGH,KNOWN_DEVICE_USUAL_LOCATION,NORMAL,2,0,0,2,GET_MORE_EVIDENCE,True,1,PASS,SAME_CHANNEL,0,2,HUMAN_REVIEW,DEFERRED,FRAUDULENT,,Initial score 2 produced GET_MORE_EVIDENCE. Verification result: PASS. Independence: SAME_CHANNEL. Score adjustment: +0. Final score: 2. Final action: HUMAN_REVIEW.
P2-036,EVALUATION,policy2_reliability_aware_v0.2,NORMAL,NEW_DEVICE_USUAL_LOCATION,NORMAL,0,1,0,1,APPROVE,False,0,NOT_REQUESTED,NOT_REQUESTED,0,1,APPROVE,LEGITIMATE,LEGITIMATE,True,Initial score 1 produced APPROVE. Verification result: NOT_REQUESTED. Independence: NOT_REQUESTED. Score adjustment: +0. Final score: 1. Final action: APPROVE.
P2-037,EVALUATION,policy2_reliability_aware_v0.2,HIGH,NEW_DEVICE_UNUSUAL_LOCATION,HIGH,2,2,2,6,STOP,False,0,NOT_REQUESTED,NOT_REQUESTED,0,6,STOP,FRAUDULENT,FRAUDULENT,True,Initial score 6 produced STOP. Verification result: NOT_REQUESTED. Independence: NOT_REQUESTED. Score adjustment: +0. Final score: 6. Final action: STOP.
P2-038,EVALUATION,policy2_reliability_aware_v0.2,HIGH,KNOWN_DEVICE_USUAL_LOCATION,NORMAL,2,0,0,2,GET_MORE_EVIDENCE,True,1,PASS,INDEPENDENT,-1,1,APPROVE,LEGITIMATE,LEGITIMATE,True,Initial score 2 produced GET_MORE_EVIDENCE. Verification result: PASS. Independence: INDEPENDENT. Score adjustment: -1. Final score: 1. Final action: APPROVE.
P2-039,EVALUATION,policy2_reliability_aware_v0.2,UNKNOWN,UNKNOWN,UNKNOWN,1,1,1,3,GET_MORE_EVIDENCE,True,1,INCONCLUSIVE,UNKNOWN,0,3,HUMAN_REVIEW,DEFERRED,FRAUDULENT,,Initial score 3 produced GET_MORE_EVIDENCE. Verification result: INCONCLUSIVE. Independence: UNKNOWN. Score adjustment: +0. Final score: 3. Final action: HUMAN_REVIEW.
P2-040,EVALUATION,policy2_reliability_aware_v0.2,NORMAL,KNOWN_DEVICE_USUAL_LOCATION,HIGH,0,0,2,2,GET_MORE_EVIDENCE,True,1,PASS,INDEPENDENT,-1,1,APPROVE,LEGITIMATE,LEGITIMATE,True,Initial score 2 produced GET_MORE_EVIDENCE. Verification result: PASS. Independence: INDEPENDENT. Score adjustment: -1. Final score: 1. Final action: APPROVE.
