case_id,scenario_name,scenario_description,research_scenario,split,true_state,usual_amount_min,usual_amount_max,transaction_amount,amount_deviation,device_status,location_status,device_location_context,normal_max_attempts_1h,recent_attempts_1h,recent_velocity,step_up_result_if_requested,category_reasoning
CASE-021,Month-end household bill payments,"Electricity, internet, phone, insurance, and other bills are paid in one sitting.",HIGH_VELOCITY_LEGITIMATE,EVALUATION,LEGITIMATE,500,6000,4500,NORMAL,KNOWN,USUAL,KNOWN_DEVICE_USUAL_LOCATION,4,8,ELEVATED,PASS,Amount: The current bill amount is typical. Device/location: The customer uses the normal phone at home. Velocity: Eight payments are above the usual maximum but reflect a monthly routine.
CASE-022,Repeated ticket booking after payment errors,"The booking site reports temporary failures, causing the customer to retry the same intended purchase several times.",HIGH_VELOCITY_LEGITIMATE,EVALUATION,LEGITIMATE,500,5000,6800,MODERATE,KNOWN,USUAL,KNOWN_DEVICE_USUAL_LOCATION,2,6,HIGH,INCONCLUSIVE,"Amount: The family booking is somewhat above the usual ticket amount but still plausible. Device/location: The normal device and home location are used. Velocity: Six attempts are far above normal, although they stem from payment errors."
CASE-023,Phished credentials from another city,The attacker signs in from another city and tries to buy an expensive phone.,CLEAR_FRAUDULENT,EVALUATION,FRAUDULENT,300,4000,22000,HIGH,NEW,UNUSUAL,NEW_DEVICE_UNUSUAL_LOCATION,2,2,NORMAL,FAIL,Amount: The amount is far above the customer's typical spending. Device/location: Both device and city are unseen in the customer's history. Velocity: The attacker limits attempts to stay within ordinary velocity.
CASE-024,SIM swap followed by wallet funding,"After the SIM swap, the attacker funds a digital wallet and can receive the customer's SMS code.",FRAUDULENT_VERIFICATION_PASS,EVALUATION,FRAUDULENT,200,3000,10000,HIGH,NEW,USUAL,NEW_DEVICE_USUAL_LOCATION,2,5,HIGH,PASS,Amount: The wallet funding is well above ordinary spending. Device/location: The attacker uses a new device but operates in the same city. Velocity: Five attempts exceed twice the normal maximum.
CASE-025,Stolen password used from same city,"The location appears usual at city level, but the login comes from a new device and requests a large purchase.",CLEAR_FRAUDULENT,EVALUATION,FRAUDULENT,500,4000,15000,HIGH,NEW,USUAL,NEW_DEVICE_USUAL_LOCATION,2,1,NORMAL,FAIL,Amount: The amount is substantially above normal. Device/location: Coarse location looks familiar while the device does not. Velocity: The attacker makes only one attempt.
CASE-026,Repeated small authorization attempts,Fifteen ₹10 attempts arrive from an unfamiliar device within an hour.,RAPID_ATTEMPT_FRAUD,EVALUATION,FRAUDULENT,100,3000,10,MODERATE,NEW,UNUSUAL,NEW_DEVICE_UNUSUAL_LOCATION,2,15,HIGH,FAIL,"Amount: The tiny amount falls outside the normal range, but it is not a large-exposure signal. Device/location: Both contextual fields differ from history. Velocity: Fifteen attempts are far beyond ordinary activity."
CASE-027,Stolen card tested across subscription sites,"Eleven small online authorizations occur quickly. Device telemetry is new, and reliable transaction location is unavailable.",RAPID_ATTEMPT_FRAUD,EVALUATION,FRAUDULENT,200,4000,79,MODERATE,NEW,UNKNOWN,UNKNOWN,2,11,HIGH,INCONCLUSIVE,"Amount: The amount is below the customer's normal range and resembles a validation charge. Device/location: The device is new, but the online merchant does not provide dependable location evidence; the combined field is therefore unknown. Velocity: The burst is far above the customer's normal maximum."
CASE-028,Test payments followed by larger purchase,"Several tiny authorizations are followed by a ₹25,000 electronics transaction from the same new device.",RAPID_ATTEMPT_FRAUD,EVALUATION,FRAUDULENT,300,4000,25000,HIGH,NEW,UNUSUAL,NEW_DEVICE_UNUSUAL_LOCATION,2,8,HIGH,FAIL,Amount: The final transaction is far above the normal range. Device/location: The device and location are unfamiliar. Velocity: Eight recent attempts greatly exceed normal activity.
CASE-029,Hijacked browser session on known device,"A purchase is made through a trusted browser session from home, producing familiar device and location evidence.",FAMILIAR_BEHAVIOUR_FRAUD,EVALUATION,FRAUDULENT,500,5000,6000,MODERATE,KNOWN,USUAL,KNOWN_DEVICE_USUAL_LOCATION,2,1,NORMAL,PASS,Amount: The amount is only moderately above the usual range. Device/location: The hijacked session runs on the customer's known computer at home. Velocity: Only one transaction is attempted.
CASE-030,Remote-access scam using customer's phone,The customer is deceived into installing remote-access software. The scammer uses the known phone from the usual home location.,KNOWN_DEVICE_FRAUD,EVALUATION,FRAUDULENT,500,5000,25000,HIGH,KNOWN,USUAL,KNOWN_DEVICE_USUAL_LOCATION,2,2,NORMAL,PASS,Amount: The transfer is much larger than normal spending. Device/location: The fraud occurs through the customer's real phone at home. Velocity: Two attempts remain within the normal maximum.
CASE-031,Unauthorized purchase from shared home tablet,A shared tablet previously trusted by the account is used at home to make an unauthorized purchase.,KNOWN_DEVICE_FRAUD,EVALUATION,FRAUDULENT,500,5000,7000,MODERATE,KNOWN,USUAL,KNOWN_DEVICE_USUAL_LOCATION,2,1,NORMAL,PASS,Amount: The amount is above normal but not extreme. Device/location: The shared device and home location are both familiar. Velocity: There is only one purchase.
CASE-032,Socially engineered customer approves verification,"The attacker initiates a large transfer and impersonates bank support, telling the customer to approve the prompt.",FRAUDULENT_VERIFICATION_PASS,EVALUATION,FRAUDULENT,500,5000,30000,HIGH,NEW,UNUSUAL,NEW_DEVICE_UNUSUAL_LOCATION,2,2,NORMAL,PASS,Amount: The transfer is far above the normal range. Device/location: The transaction originates from the attacker's unfamiliar device and location. Velocity: The number of attempts is not unusual.
CASE-033,Legitimate customer enters expired code,"A normal home purchase receives a challenge, but the customer is interrupted and submits the code too late.",LEGITIMATE_VERIFICATION_FAIL,EVALUATION,LEGITIMATE,200,3000,950,NORMAL,KNOWN,USUAL,KNOWN_DEVICE_USUAL_LOCATION,2,1,NORMAL,FAIL,Amount: The amount is typical. Device/location: The normal phone and location are used. Velocity: Activity is ordinary.
CASE-034,Fraud attempt during verification outage,A new-device transaction from an unusual location arrives during a verification-system outage.,MISSING_EVIDENCE,EVALUATION,FRAUDULENT,300,4000,18000,HIGH,NEW,UNUSUAL,NEW_DEVICE_UNUSUAL_LOCATION,2,2,NORMAL,UNAVAILABLE,Amount: The amount is far above normal. Device/location: Both context signals are unfamiliar. Velocity: The attempt count alone is not unusual.
CASE-035,Fraud with missing device telemetry,A high-value purchase from an unusual region arrives with the device field missing.,MISSING_EVIDENCE,EVALUATION,FRAUDULENT,300,3500,12000,HIGH,UNKNOWN,UNUSUAL,UNKNOWN,2,4,ELEVATED,INCONCLUSIVE,"Amount: The amount is well above the usual range. Device/location: Because device status is missing, the combined device-location category must remain unknown. Velocity: Four attempts exceed the normal maximum."
CASE-036,Legitimate purchase without velocity history,"The amount, device, and location look ordinary, but no historical hourly-attempt baseline is available.",MISSING_EVIDENCE,EVALUATION,LEGITIMATE,500,4000,2300,NORMAL,KNOWN,USUAL,KNOWN_DEVICE_USUAL_LOCATION,,1,UNKNOWN,PASS,"Amount: The amount fits the retained transaction history. Device/location: The contextual records are available and familiar. Velocity: The current attempt count is known, but there is no normal baseline for comparison."
CASE-037,Fraud on newly opened account,The account has no meaningful amount or velocity history. Several purchases are attempted from a new device and unusual location.,MISSING_EVIDENCE,EVALUATION,FRAUDULENT,,,9000,UNKNOWN,NEW,UNUSUAL,NEW_DEVICE_UNUSUAL_LOCATION,,5,UNKNOWN,FAIL,"Amount: No historical spending range exists for comparison. Device/location: The device is newly observed and the location differs from the declared profile. Velocity: Five attempts are observed, but no personal normal maximum exists."
CASE-038,Normal-looking purchase after session compromise,"Using a compromised session, the attacker makes one small purchase from the known device and usual location.",FAMILIAR_BEHAVIOUR_FRAUD,EVALUATION,FRAUDULENT,500,3000,1800,NORMAL,KNOWN,USUAL,KNOWN_DEVICE_USUAL_LOCATION,3,1,NORMAL,PASS,Amount: The amount deliberately matches normal behaviour. Device/location: The compromised session preserves familiar device and location signals. Velocity: The attacker avoids rapid activity.
CASE-039,Expensive purchase from unusual local venue,A large purchase is made from the known phone at a jewellery store in an unfamiliar part of the same city.,BORDERLINE,EVALUATION,LEGITIMATE,500,4000,40000,HIGH,KNOWN,UNUSUAL,KNOWN_DEVICE_UNUSUAL_LOCATION,2,1,NORMAL,PASS,"Amount: The jewellery purchase is far above ordinary spending. Device/location: The phone is familiar, while the specialist merchant location is new. Velocity: There is only one attempt."
CASE-040,Same-city attacker with successful verification,"The location appears usual at city level. The attacker uses a new device, makes one purchase, and successfully passes the compromised check.",FRAUDULENT_VERIFICATION_PASS,EVALUATION,FRAUDULENT,500,4000,9000,HIGH,NEW,USUAL,NEW_DEVICE_USUAL_LOCATION,2,1,NORMAL,PASS,"Amount: The amount is above the customer's normal range. Device/location: Coarse location is familiar, but the device is not. Velocity: A single attempt looks ordinary."
