case_id,scenario_name,scenario_description,research_scenario,split,true_state,usual_amount_min,usual_amount_max,transaction_amount,amount_deviation,device_status,location_status,device_location_context,normal_max_attempts_1h,recent_attempts_1h,recent_velocity,step_up_result_if_requested,verification_independence_if_requested,category_reasoning
P2-028,Fraud with unavailable history,An attacker acts while amount and velocity history are unavailable.,MISSING_INFORMATION,EVALUATION,FRAUDULENT,,,8000,UNKNOWN,NEW,USUAL,NEW_DEVICE_USUAL_LOCATION,,,UNKNOWN,UNAVAILABLE,UNKNOWN,Missing comparisons and a new device create unresolved uncertainty.
P2-029,Imperfect independent confirmation,A fraudulent transaction unexpectedly passes a separate verification channel.,MISLEADING_VERIFICATION,EVALUATION,FRAUDULENT,500,5000,26000,HIGH,KNOWN,USUAL,KNOWN_DEVICE_USUAL_LOCATION,3,1,NORMAL,PASS,INDEPENDENT,Independent evidence is useful but not perfect and can still be wrong.
P2-030,Home renovation purchase,The customer buys high-value renovation materials from an unusual location.,LARGE_PURCHASE,EVALUATION,LEGITIMATE,1000,10000,75000,HIGH,KNOWN,UNUSUAL,KNOWN_DEVICE_UNUSUAL_LOCATION,3,1,NORMAL,PASS,INDEPENDENT,Large exposure and location change remain partly uncertain after confirmation.
P2-031,Password-reset takeover,An attacker resets credentials and makes several purchases on a new home-network device.,ACCOUNT_TAKEOVER,EVALUATION,FRAUDULENT,400,5000,8500,MODERATE,NEW,USUAL,NEW_DEVICE_USUAL_LOCATION,3,5,ELEVATED,FAIL,UNKNOWN,Several mild warnings and a failed check.
P2-032,Holiday booking burst,A customer rapidly books legitimate flights hotels and transport.,HIGH_VELOCITY_LEGITIMATE,EVALUATION,LEGITIMATE,500,9000,12000,MODERATE,KNOWN,USUAL,KNOWN_DEVICE_USUAL_LOCATION,3,10,HIGH,PASS,SAME_CHANNEL,Amount and velocity are unusual but activity is legitimate.
P2-033,Familiar merchant fraud,Stolen wallet credentials are used for a normal-looking purchase at a familiar merchant.,FAMILIAR_CONTEXT_FRAUD,EVALUATION,FRAUDULENT,300,4000,1800,NORMAL,KNOWN,USUAL,KNOWN_DEVICE_USUAL_LOCATION,3,1,NORMAL,PASS,SAME_CHANNEL,No current initial category reveals the theft.
P2-034,Normal fuel payment,The customer makes a typical fuel payment near home.,ROUTINE_LEGITIMATE,EVALUATION,LEGITIMATE,1000,5000,2400,NORMAL,KNOWN,USUAL,KNOWN_DEVICE_USUAL_LOCATION,3,1,NORMAL,PASS,INDEPENDENT,All signals match established behaviour.
P2-035,Compromised-app verification,Malware approves a high purchase through the same banking app.,MISLEADING_VERIFICATION,EVALUATION,FRAUDULENT,300,4000,31000,HIGH,KNOWN,USUAL,KNOWN_DEVICE_USUAL_LOCATION,3,1,NORMAL,PASS,SAME_CHANNEL,A same-app PASS shares the compromise.
P2-036,New phone at home,The customer replaces a damaged phone and makes a normal purchase at home.,TRAVEL_OR_NEW_DEVICE,EVALUATION,LEGITIMATE,500,5000,2100,NORMAL,NEW,USUAL,NEW_DEVICE_USUAL_LOCATION,3,1,NORMAL,PASS,INDEPENDENT,Only the replacement device is unusual.
P2-037,Maximum-risk card testing,An attacker makes rapid high-value attempts from a new foreign device.,CARD_TESTING,EVALUATION,FRAUDULENT,100,3000,42000,HIGH,NEW,UNUSUAL,NEW_DEVICE_UNUSUAL_LOCATION,2,20,HIGH,FAIL,INDEPENDENT,Every initial evidence group is strongly unusual.
P2-038,Independent confirmation for jewellery,The customer buys expensive jewellery and confirms through a separate registered device.,LARGE_PURCHASE,EVALUATION,LEGITIMATE,500,6000,85000,HIGH,KNOWN,USUAL,KNOWN_DEVICE_USUAL_LOCATION,3,1,NORMAL,PASS,INDEPENDENT,High amount with independent positive evidence.
P2-039,Fraud with inconclusive context,A fraud attempt occurs while context and history services are partly unavailable.,MISSING_INFORMATION,EVALUATION,FRAUDULENT,,,12000,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,4,UNKNOWN,INCONCLUSIVE,UNKNOWN,Amount context and normal velocity history are unavailable so the evidence remains unresolved.
P2-040,Concert-ticket shopping burst,The customer buys several valid concert tickets in a short period and confirms separately.,HIGH_VELOCITY_LEGITIMATE,EVALUATION,LEGITIMATE,500,6000,3800,NORMAL,KNOWN,USUAL,KNOWN_DEVICE_USUAL_LOCATION,3,13,HIGH,PASS,INDEPENDENT,High velocity is supported by independent customer confirmation.
