case_id,split,policy_name,amount_deviation,device_location_context,recent_velocity,amount_points,device_location_points,velocity_points,initial_risk_score,initial_action,verification_requested,verification_request_count,verification_result_observed,verification_score_adjustment,final_risk_score,final_action,predicted_state,true_state,automatic_correct,reason
CASE-021,EVALUATION,policy1_step_up_v0.1,NORMAL,KNOWN_DEVICE_USUAL_LOCATION,ELEVATED,0,0,1,1,APPROVE,False,0,NOT_REQUESTED,0,1,APPROVE,LEGITIMATE,LEGITIMATE,True,Initial score 1 produced APPROVE. Verification result: NOT_REQUESTED. Score adjustment: +0. Final score: 1. Final action: APPROVE.
CASE-022,EVALUATION,policy1_step_up_v0.1,MODERATE,KNOWN_DEVICE_USUAL_LOCATION,HIGH,1,0,2,3,GET_MORE_EVIDENCE,True,1,INCONCLUSIVE,0,3,HUMAN_REVIEW,DEFERRED,LEGITIMATE,,Initial score 3 produced GET_MORE_EVIDENCE. Verification result: INCONCLUSIVE. Score adjustment: +0. Final score: 3. Final action: HUMAN_REVIEW.
CASE-023,EVALUATION,policy1_step_up_v0.1,HIGH,NEW_DEVICE_UNUSUAL_LOCATION,NORMAL,2,2,0,4,STOP,False,0,NOT_REQUESTED,0,4,STOP,FRAUDULENT,FRAUDULENT,True,Initial score 4 produced STOP. Verification result: NOT_REQUESTED. Score adjustment: +0. Final score: 4. Final action: STOP.
CASE-024,EVALUATION,policy1_step_up_v0.1,HIGH,NEW_DEVICE_USUAL_LOCATION,HIGH,2,1,2,5,STOP,False,0,NOT_REQUESTED,0,5,STOP,FRAUDULENT,FRAUDULENT,True,Initial score 5 produced STOP. Verification result: NOT_REQUESTED. Score adjustment: +0. Final score: 5. Final action: STOP.
CASE-025,EVALUATION,policy1_step_up_v0.1,HIGH,NEW_DEVICE_USUAL_LOCATION,NORMAL,2,1,0,3,GET_MORE_EVIDENCE,True,1,FAIL,1,4,STOP,FRAUDULENT,FRAUDULENT,True,Initial score 3 produced GET_MORE_EVIDENCE. Verification result: FAIL. Score adjustment: +1. Final score: 4. Final action: STOP.
CASE-026,EVALUATION,policy1_step_up_v0.1,MODERATE,NEW_DEVICE_UNUSUAL_LOCATION,HIGH,1,2,2,5,STOP,False,0,NOT_REQUESTED,0,5,STOP,FRAUDULENT,FRAUDULENT,True,Initial score 5 produced STOP. Verification result: NOT_REQUESTED. Score adjustment: +0. Final score: 5. Final action: STOP.
CASE-027,EVALUATION,policy1_step_up_v0.1,MODERATE,UNKNOWN,HIGH,1,1,2,4,STOP,False,0,NOT_REQUESTED,0,4,STOP,FRAUDULENT,FRAUDULENT,True,Initial score 4 produced STOP. Verification result: NOT_REQUESTED. Score adjustment: +0. Final score: 4. Final action: STOP.
CASE-028,EVALUATION,policy1_step_up_v0.1,HIGH,NEW_DEVICE_UNUSUAL_LOCATION,HIGH,2,2,2,6,STOP,False,0,NOT_REQUESTED,0,6,STOP,FRAUDULENT,FRAUDULENT,True,Initial score 6 produced STOP. Verification result: NOT_REQUESTED. Score adjustment: +0. Final score: 6. Final action: STOP.
CASE-029,EVALUATION,policy1_step_up_v0.1,MODERATE,KNOWN_DEVICE_USUAL_LOCATION,NORMAL,1,0,0,1,APPROVE,False,0,NOT_REQUESTED,0,1,APPROVE,LEGITIMATE,FRAUDULENT,False,Initial score 1 produced APPROVE. Verification result: NOT_REQUESTED. Score adjustment: +0. Final score: 1. Final action: APPROVE.
CASE-030,EVALUATION,policy1_step_up_v0.1,HIGH,KNOWN_DEVICE_USUAL_LOCATION,NORMAL,2,0,0,2,GET_MORE_EVIDENCE,True,1,PASS,-1,1,APPROVE,LEGITIMATE,FRAUDULENT,False,Initial score 2 produced GET_MORE_EVIDENCE. Verification result: PASS. Score adjustment: -1. Final score: 1. Final action: APPROVE.
CASE-031,EVALUATION,policy1_step_up_v0.1,MODERATE,KNOWN_DEVICE_USUAL_LOCATION,NORMAL,1,0,0,1,APPROVE,False,0,NOT_REQUESTED,0,1,APPROVE,LEGITIMATE,FRAUDULENT,False,Initial score 1 produced APPROVE. Verification result: NOT_REQUESTED. Score adjustment: +0. Final score: 1. Final action: APPROVE.
CASE-032,EVALUATION,policy1_step_up_v0.1,HIGH,NEW_DEVICE_UNUSUAL_LOCATION,NORMAL,2,2,0,4,STOP,False,0,NOT_REQUESTED,0,4,STOP,FRAUDULENT,FRAUDULENT,True,Initial score 4 produced STOP. Verification result: NOT_REQUESTED. Score adjustment: +0. Final score: 4. Final action: STOP.
CASE-033,EVALUATION,policy1_step_up_v0.1,NORMAL,KNOWN_DEVICE_USUAL_LOCATION,NORMAL,0,0,0,0,APPROVE,False,0,NOT_REQUESTED,0,0,APPROVE,LEGITIMATE,LEGITIMATE,True,Initial score 0 produced APPROVE. Verification result: NOT_REQUESTED. Score adjustment: +0. Final score: 0. Final action: APPROVE.
CASE-034,EVALUATION,policy1_step_up_v0.1,HIGH,NEW_DEVICE_UNUSUAL_LOCATION,NORMAL,2,2,0,4,STOP,False,0,NOT_REQUESTED,0,4,STOP,FRAUDULENT,FRAUDULENT,True,Initial score 4 produced STOP. Verification result: NOT_REQUESTED. Score adjustment: +0. Final score: 4. Final action: STOP.
CASE-035,EVALUATION,policy1_step_up_v0.1,HIGH,UNKNOWN,ELEVATED,2,1,1,4,STOP,False,0,NOT_REQUESTED,0,4,STOP,FRAUDULENT,FRAUDULENT,True,Initial score 4 produced STOP. Verification result: NOT_REQUESTED. Score adjustment: +0. Final score: 4. Final action: STOP.
CASE-036,EVALUATION,policy1_step_up_v0.1,NORMAL,KNOWN_DEVICE_USUAL_LOCATION,UNKNOWN,0,0,1,1,APPROVE,False,0,NOT_REQUESTED,0,1,APPROVE,LEGITIMATE,LEGITIMATE,True,Initial score 1 produced APPROVE. Verification result: NOT_REQUESTED. Score adjustment: +0. Final score: 1. Final action: APPROVE.
CASE-037,EVALUATION,policy1_step_up_v0.1,UNKNOWN,NEW_DEVICE_UNUSUAL_LOCATION,UNKNOWN,1,2,1,4,STOP,False,0,NOT_REQUESTED,0,4,STOP,FRAUDULENT,FRAUDULENT,True,Initial score 4 produced STOP. Verification result: NOT_REQUESTED. Score adjustment: +0. Final score: 4. Final action: STOP.
CASE-038,EVALUATION,policy1_step_up_v0.1,NORMAL,KNOWN_DEVICE_USUAL_LOCATION,NORMAL,0,0,0,0,APPROVE,False,0,NOT_REQUESTED,0,0,APPROVE,LEGITIMATE,FRAUDULENT,False,Initial score 0 produced APPROVE. Verification result: NOT_REQUESTED. Score adjustment: +0. Final score: 0. Final action: APPROVE.
CASE-039,EVALUATION,policy1_step_up_v0.1,HIGH,KNOWN_DEVICE_UNUSUAL_LOCATION,NORMAL,2,1,0,3,GET_MORE_EVIDENCE,True,1,PASS,-1,2,HUMAN_REVIEW,DEFERRED,LEGITIMATE,,Initial score 3 produced GET_MORE_EVIDENCE. Verification result: PASS. Score adjustment: -1. Final score: 2. Final action: HUMAN_REVIEW.
CASE-040,EVALUATION,policy1_step_up_v0.1,HIGH,NEW_DEVICE_USUAL_LOCATION,NORMAL,2,1,0,3,GET_MORE_EVIDENCE,True,1,PASS,-1,2,HUMAN_REVIEW,DEFERRED,FRAUDULENT,,Initial score 3 produced GET_MORE_EVIDENCE. Verification result: PASS. Score adjustment: -1. Final score: 2. Final action: HUMAN_REVIEW.
