case_id,split,policy_name,amount_deviation,device_location_context,recent_velocity,amount_points,device_location_points,velocity_points,initial_risk_score,initial_action,verification_requested,verification_request_count,verification_result_observed,verification_score_adjustment,final_risk_score,final_action,predicted_state,true_state,automatic_correct,reason
CASE-021,EVALUATION,baseline_static_v0.1,NORMAL,KNOWN_DEVICE_USUAL_LOCATION,ELEVATED,0,0,1,1,APPROVE,False,0,NOT_REQUESTED,0,1,APPROVE,LEGITIMATE,LEGITIMATE,True,Amount category NORMAL contributed 0 point(s). Device/location category KNOWN_DEVICE_USUAL_LOCATION contributed 0 point(s). Velocity category ELEVATED contributed 1 point(s). The total risk score was 1 out of 6. The selected action was APPROVE.
CASE-022,EVALUATION,baseline_static_v0.1,MODERATE,KNOWN_DEVICE_USUAL_LOCATION,HIGH,1,0,2,3,HUMAN_REVIEW,False,0,NOT_REQUESTED,0,3,HUMAN_REVIEW,DEFERRED,LEGITIMATE,,Amount category MODERATE contributed 1 point(s). Device/location category KNOWN_DEVICE_USUAL_LOCATION contributed 0 point(s). Velocity category HIGH contributed 2 point(s). The total risk score was 3 out of 6. The selected action was HUMAN_REVIEW.
CASE-023,EVALUATION,baseline_static_v0.1,HIGH,NEW_DEVICE_UNUSUAL_LOCATION,NORMAL,2,2,0,4,STOP,False,0,NOT_REQUESTED,0,4,STOP,FRAUDULENT,FRAUDULENT,True,Amount category HIGH contributed 2 point(s). Device/location category NEW_DEVICE_UNUSUAL_LOCATION contributed 2 point(s). Velocity category NORMAL contributed 0 point(s). The total risk score was 4 out of 6. The selected action was STOP.
CASE-024,EVALUATION,baseline_static_v0.1,HIGH,NEW_DEVICE_USUAL_LOCATION,HIGH,2,1,2,5,STOP,False,0,NOT_REQUESTED,0,5,STOP,FRAUDULENT,FRAUDULENT,True,Amount category HIGH contributed 2 point(s). Device/location category NEW_DEVICE_USUAL_LOCATION contributed 1 point(s). Velocity category HIGH contributed 2 point(s). The total risk score was 5 out of 6. The selected action was STOP.
CASE-025,EVALUATION,baseline_static_v0.1,HIGH,NEW_DEVICE_USUAL_LOCATION,NORMAL,2,1,0,3,HUMAN_REVIEW,False,0,NOT_REQUESTED,0,3,HUMAN_REVIEW,DEFERRED,FRAUDULENT,,Amount category HIGH contributed 2 point(s). Device/location category NEW_DEVICE_USUAL_LOCATION contributed 1 point(s). Velocity category NORMAL contributed 0 point(s). The total risk score was 3 out of 6. The selected action was HUMAN_REVIEW.
CASE-026,EVALUATION,baseline_static_v0.1,MODERATE,NEW_DEVICE_UNUSUAL_LOCATION,HIGH,1,2,2,5,STOP,False,0,NOT_REQUESTED,0,5,STOP,FRAUDULENT,FRAUDULENT,True,Amount category MODERATE contributed 1 point(s). Device/location category NEW_DEVICE_UNUSUAL_LOCATION contributed 2 point(s). Velocity category HIGH contributed 2 point(s). The total risk score was 5 out of 6. The selected action was STOP.
CASE-027,EVALUATION,baseline_static_v0.1,MODERATE,UNKNOWN,HIGH,1,1,2,4,STOP,False,0,NOT_REQUESTED,0,4,STOP,FRAUDULENT,FRAUDULENT,True,Amount category MODERATE contributed 1 point(s). Device/location category UNKNOWN contributed 1 point(s). Velocity category HIGH contributed 2 point(s). The total risk score was 4 out of 6. The selected action was STOP.
CASE-028,EVALUATION,baseline_static_v0.1,HIGH,NEW_DEVICE_UNUSUAL_LOCATION,HIGH,2,2,2,6,STOP,False,0,NOT_REQUESTED,0,6,STOP,FRAUDULENT,FRAUDULENT,True,Amount category HIGH contributed 2 point(s). Device/location category NEW_DEVICE_UNUSUAL_LOCATION contributed 2 point(s). Velocity category HIGH contributed 2 point(s). The total risk score was 6 out of 6. The selected action was STOP.
CASE-029,EVALUATION,baseline_static_v0.1,MODERATE,KNOWN_DEVICE_USUAL_LOCATION,NORMAL,1,0,0,1,APPROVE,False,0,NOT_REQUESTED,0,1,APPROVE,LEGITIMATE,FRAUDULENT,False,Amount category MODERATE contributed 1 point(s). Device/location category KNOWN_DEVICE_USUAL_LOCATION contributed 0 point(s). Velocity category NORMAL contributed 0 point(s). The total risk score was 1 out of 6. The selected action was APPROVE.
CASE-030,EVALUATION,baseline_static_v0.1,HIGH,KNOWN_DEVICE_USUAL_LOCATION,NORMAL,2,0,0,2,HUMAN_REVIEW,False,0,NOT_REQUESTED,0,2,HUMAN_REVIEW,DEFERRED,FRAUDULENT,,Amount category HIGH contributed 2 point(s). Device/location category KNOWN_DEVICE_USUAL_LOCATION contributed 0 point(s). Velocity category NORMAL contributed 0 point(s). The total risk score was 2 out of 6. The selected action was HUMAN_REVIEW.
CASE-031,EVALUATION,baseline_static_v0.1,MODERATE,KNOWN_DEVICE_USUAL_LOCATION,NORMAL,1,0,0,1,APPROVE,False,0,NOT_REQUESTED,0,1,APPROVE,LEGITIMATE,FRAUDULENT,False,Amount category MODERATE contributed 1 point(s). Device/location category KNOWN_DEVICE_USUAL_LOCATION contributed 0 point(s). Velocity category NORMAL contributed 0 point(s). The total risk score was 1 out of 6. The selected action was APPROVE.
CASE-032,EVALUATION,baseline_static_v0.1,HIGH,NEW_DEVICE_UNUSUAL_LOCATION,NORMAL,2,2,0,4,STOP,False,0,NOT_REQUESTED,0,4,STOP,FRAUDULENT,FRAUDULENT,True,Amount category HIGH contributed 2 point(s). Device/location category NEW_DEVICE_UNUSUAL_LOCATION contributed 2 point(s). Velocity category NORMAL contributed 0 point(s). The total risk score was 4 out of 6. The selected action was STOP.
CASE-033,EVALUATION,baseline_static_v0.1,NORMAL,KNOWN_DEVICE_USUAL_LOCATION,NORMAL,0,0,0,0,APPROVE,False,0,NOT_REQUESTED,0,0,APPROVE,LEGITIMATE,LEGITIMATE,True,Amount category NORMAL contributed 0 point(s). Device/location category KNOWN_DEVICE_USUAL_LOCATION contributed 0 point(s). Velocity category NORMAL contributed 0 point(s). The total risk score was 0 out of 6. The selected action was APPROVE.
CASE-034,EVALUATION,baseline_static_v0.1,HIGH,NEW_DEVICE_UNUSUAL_LOCATION,NORMAL,2,2,0,4,STOP,False,0,NOT_REQUESTED,0,4,STOP,FRAUDULENT,FRAUDULENT,True,Amount category HIGH contributed 2 point(s). Device/location category NEW_DEVICE_UNUSUAL_LOCATION contributed 2 point(s). Velocity category NORMAL contributed 0 point(s). The total risk score was 4 out of 6. The selected action was STOP.
CASE-035,EVALUATION,baseline_static_v0.1,HIGH,UNKNOWN,ELEVATED,2,1,1,4,STOP,False,0,NOT_REQUESTED,0,4,STOP,FRAUDULENT,FRAUDULENT,True,Amount category HIGH contributed 2 point(s). Device/location category UNKNOWN contributed 1 point(s). Velocity category ELEVATED contributed 1 point(s). The total risk score was 4 out of 6. The selected action was STOP.
CASE-036,EVALUATION,baseline_static_v0.1,NORMAL,KNOWN_DEVICE_USUAL_LOCATION,UNKNOWN,0,0,1,1,APPROVE,False,0,NOT_REQUESTED,0,1,APPROVE,LEGITIMATE,LEGITIMATE,True,Amount category NORMAL contributed 0 point(s). Device/location category KNOWN_DEVICE_USUAL_LOCATION contributed 0 point(s). Velocity category UNKNOWN contributed 1 point(s). The total risk score was 1 out of 6. The selected action was APPROVE.
CASE-037,EVALUATION,baseline_static_v0.1,UNKNOWN,NEW_DEVICE_UNUSUAL_LOCATION,UNKNOWN,1,2,1,4,STOP,False,0,NOT_REQUESTED,0,4,STOP,FRAUDULENT,FRAUDULENT,True,Amount category UNKNOWN contributed 1 point(s). Device/location category NEW_DEVICE_UNUSUAL_LOCATION contributed 2 point(s). Velocity category UNKNOWN contributed 1 point(s). The total risk score was 4 out of 6. The selected action was STOP.
CASE-038,EVALUATION,baseline_static_v0.1,NORMAL,KNOWN_DEVICE_USUAL_LOCATION,NORMAL,0,0,0,0,APPROVE,False,0,NOT_REQUESTED,0,0,APPROVE,LEGITIMATE,FRAUDULENT,False,Amount category NORMAL contributed 0 point(s). Device/location category KNOWN_DEVICE_USUAL_LOCATION contributed 0 point(s). Velocity category NORMAL contributed 0 point(s). The total risk score was 0 out of 6. The selected action was APPROVE.
CASE-039,EVALUATION,baseline_static_v0.1,HIGH,KNOWN_DEVICE_UNUSUAL_LOCATION,NORMAL,2,1,0,3,HUMAN_REVIEW,False,0,NOT_REQUESTED,0,3,HUMAN_REVIEW,DEFERRED,LEGITIMATE,,Amount category HIGH contributed 2 point(s). Device/location category KNOWN_DEVICE_UNUSUAL_LOCATION contributed 1 point(s). Velocity category NORMAL contributed 0 point(s). The total risk score was 3 out of 6. The selected action was HUMAN_REVIEW.
CASE-040,EVALUATION,baseline_static_v0.1,HIGH,NEW_DEVICE_USUAL_LOCATION,NORMAL,2,1,0,3,HUMAN_REVIEW,False,0,NOT_REQUESTED,0,3,HUMAN_REVIEW,DEFERRED,FRAUDULENT,,Amount category HIGH contributed 2 point(s). Device/location category NEW_DEVICE_USUAL_LOCATION contributed 1 point(s). Velocity category NORMAL contributed 0 point(s). The total risk score was 3 out of 6. The selected action was HUMAN_REVIEW.
